point_id,taluk,latitude,longitude,clay_pct,sand_pct,silt_pct,pH,nitrogen_g_per_kg,organic_carbon_dg_per_kg,bulk_density_cg_per_cm3,api_source
CHI_000,Chikkodi,16.51678258279039,74.64332518097048,35.8,41.3,22.9,7.4,1.35,161.0,145.0,ISRIC SoilGrids v2.0
CHI_001,Chikkodi,16.353806595834175,74.73625261128088,31.9,46.3,21.8,6.7,1.22,193.0,140.0,ISRIC SoilGrids v2.0
CHI_002,Chikkodi,16.344294135128163,74.47489071184863,33.4,39.3,27.3,6.5,1.73,186.0,136.0,ISRIC SoilGrids v2.0
CHI_003,Chikkodi,16.45651606493805,74.524067383514,31.1,42.3,26.6,7.1,1.36,179.0,140.0,ISRIC SoilGrids v2.0
CHI_004,Chikkodi,16.379742267469865,74.575367311828,32.6,42.0,25.3,6.8,1.52,170.0,138.0,ISRIC SoilGrids v2.0
CHI_005,Chikkodi,16.329858189471533,74.64763873346871,35.2,38.9,25.9,6.9,1.38,186.0,137.0,ISRIC SoilGrids v2.0
CHI_006,Chikkodi,16.404442690684974,74.51920761657922,28.5,41.6,29.9,6.9,1.33,174.0,137.0,ISRIC SoilGrids v2.0
CHI_007,Chikkodi,16.54213088156965,74.58505863606082,28.3,43.3,28.4,7.0,1.32,194.0,144.0,ISRIC SoilGrids v2.0
CHI_008,Chikkodi,16.453056883052422,74.48206082168059,32.3,42.3,25.4,7.1,1.29,171.0,141.0,ISRIC SoilGrids v2.0
CHI_009,Chikkodi,16.3400596143886,74.6459081345314,33.7,39.1,27.1,6.9,1.29,169.0,137.0,ISRIC SoilGrids v2.0
ATH_000,Athani,16.934367080771292,74.93346581393871,36.1,38.8,25.2,7.4,1.24,170.0,149.0,ISRIC SoilGrids v2.0
ATH_001,Athani,16.54935011999215,75.05173139260937,34.6,44.5,20.9,7.3,1.52,168.0,142.0,ISRIC SoilGrids v2.0
ATH_002,Athani,16.704259278295115,75.23913948790253,32.7,42.2,25.1,7.6,1.17,157.0,148.0,ISRIC SoilGrids v2.0
ATH_003,Athani,16.804840564507522,75.02910445084301,39.0,34.5,26.5,7.5,1.18,150.0,145.0,ISRIC SoilGrids v2.0
ATH_004,Athani,16.740406304003372,75.05523514734554,35.6,40.4,24.1,7.3,1.3,165.0,144.0,ISRIC SoilGrids v2.0
ATH_005,Athani,16.855776048248885,75.3800101077295,28.8,44.2,27.1,7.3,1.29,157.0,143.0,ISRIC SoilGrids v2.0
ATH_006,Athani,16.627906868758245,75.09323135331738,36.8,36.9,26.3,7.8,1.24,166.0,142.0,ISRIC SoilGrids v2.0
ATH_007,Athani,16.750641325461093,75.04004156172637,40.0,36.3,23.7,7.6,1.09,177.0,147.0,ISRIC SoilGrids v2.0
ATH_008,Athani,16.86801758408572,74.97092214728099,35.5,38.6,25.9,7.4,1.3,172.0,149.0,ISRIC SoilGrids v2.0
ATH_009,Athani,16.83491270288767,75.25030852144648,,,,,,,,ISRIC SoilGrids v2.0
RAI_000,Raibag,16.353951227322582,74.8177352309449,29.7,42.2,28.0,7.3,1.38,168.0,141.0,ISRIC SoilGrids v2.0
RAI_001,Raibag,16.336020277313377,74.80658635354013,32.5,40.2,27.3,7.4,1.21,182.0,142.0,ISRIC SoilGrids v2.0
RAI_002,Raibag,16.425699510450904,74.79853208339895,31.7,44.9,23.4,7.1,1.46,209.0,139.0,ISRIC SoilGrids v2.0
RAI_003,Raibag,16.532774435208186,74.96783113378078,33.8,42.2,24.0,7.2,1.41,234.0,142.0,ISRIC SoilGrids v2.0
RAI_004,Raibag,16.558718367089376,74.72113128798098,33.9,39.6,26.5,7.2,1.44,194.0,143.0,ISRIC SoilGrids v2.0
RAI_005,Raibag,16.506627250514352,74.98044043219194,31.7,41.4,26.9,7.2,1.42,228.0,139.0,ISRIC SoilGrids v2.0
RAI_006,Raibag,16.48349605548086,74.98455827005297,33.9,45.7,20.4,7.2,1.29,225.0,140.0,ISRIC SoilGrids v2.0
RAI_007,Raibag,16.46078545676438,74.8841678141359,35.6,40.4,24.1,7.3,1.29,182.0,143.0,ISRIC SoilGrids v2.0
RAI_008,Raibag,16.532381248469633,74.68547574484523,31.9,42.3,25.7,7.1,1.37,209.0,141.0,ISRIC SoilGrids v2.0
RAI_009,Raibag,16.488560630022082,74.79989645219217,28.7,48.2,23.1,7.2,1.59,253.0,140.0,ISRIC SoilGrids v2.0
GOK_000,Gokak,16.00557545005408,74.7830242792542,28.7,43.4,27.9,6.5,1.49,210.0,133.0,ISRIC SoilGrids v2.0
GOK_001,Gokak,16.151262236114,75.07240413082062,29.8,46.0,24.2,7.2,1.18,172.0,137.0,ISRIC SoilGrids v2.0
GOK_002,Gokak,16.029034509311312,74.84430768880863,32.2,45.2,22.6,6.9,1.31,175.0,138.0,ISRIC SoilGrids v2.0
GOK_003,Gokak,16.073538512522756,74.7014698750515,30.4,43.9,25.7,6.7,1.25,179.0,139.0,ISRIC SoilGrids v2.0
GOK_004,Gokak,16.214325482293848,74.89297532609362,30.2,45.0,24.8,7.0,1.45,220.0,139.0,ISRIC SoilGrids v2.0
GOK_005,Gokak,16.31787762675683,74.81848974096454,31.6,38.9,29.6,7.0,1.46,182.0,141.0,ISRIC SoilGrids v2.0
GOK_006,Gokak,16.059384112380332,74.88263395871505,31.2,48.7,20.1,7.0,1.39,171.0,138.0,ISRIC SoilGrids v2.0
GOK_007,Gokak,16.137136209954278,74.93655156127168,40.6,33.6,25.8,7.6,1.39,196.0,141.0,ISRIC SoilGrids v2.0
