KGISTalukN,KGISDist_1
Rabakavi-Banahatti,Bagalkote
Jamakhandi,Bagalkote
Badami,Bagalkote
Bagalkote,Bagalkote
Hungund,Bagalkote
Guledgudda,Bagalkote
Ilkal,Bagalkote
Bilagi,Bagalkote
Mudhol,Bagalkote
Terdal,Bagalkote
Siruguppa,Ballari
Kampli,Ballari
Kurugodu,Ballari
Sonduru,Ballari
Ballari,Ballari
Hosapete,Ballari
Yaragatti,Belagavi
Chikkodi,Belagavi
Kagwad,Belagavi
Nippani,Belagavi
Kitthuru,Belagavi
Ramadurg,Belagavi
Bailhongal,Belagavi
Athani,Belagavi
Raibag,Belagavi
Savadatti,Belagavi
Mudalgi,Belagavi
Gokak,Belagavi
Hukkeri,Belagavi
Khanapur,Belagavi
Belagavi,Belagavi
Doddaballapura,Bengaluru (Rural)
Devanahalli,Bengaluru (Rural)
Nelamangala,Bengaluru (Rural)
Hoskote,Bengaluru (Rural)
Bangalore-East,Bengaluru (Urban)
Bangalore-South,Bengaluru (Urban)
Anekal,Bengaluru (Urban)
Bangalore-North,Bengaluru (Urban)
Yelahanka,Bengaluru (Urban)
Channapatna,Bengaluru South
Ramanagara,Bengaluru South
Kanakpura,Bengaluru South
Harohalli,Bengaluru South
Magadi,Bengaluru South
Hulsoor,Bidar
Kamalnagar,Bidar
Chitguppa,Bidar
Humnabad,Bidar
Bhalki,Bidar
Aurad,Bidar
Bidar,Bidar
Basavakalyan,Bidar
Chamarajanagara,Chamarajanagara
Yalandur,Chamarajanagara
Gundlupet,Chamarajanagara
Kollegal,Chamarajanagara
Hanur,Chamarajanagara
Chelur,Chikkaballapura
Manchenahalli,Chikkaballapura
Chinthamani,Chikkaballapura
Shidlagatta,Chikkaballapura
Bagepalli,Chikkaballapura
Gauribidanur,Chikkaballapura
Chikkaballapura,Chikkaballapura
Gudibande,Chikkaballapura
Tarikere,Chikkamagaluru
Koppa,Chikkamagaluru
Sringeri,Chikkamagaluru
Kadur,Chikkamagaluru
Narasimharajapura,Chikkamagaluru
Chikkamagaluru,Chikkamagaluru
Ajjampura,Chikkamagaluru
Kalasa,Chikkamagaluru
Mudigere,Chikkamagaluru
