point_id_yr,column,action,original_value,new_value
SAV_001_2019,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_001_2020,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_001_2021,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_001_2022,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_001_2023,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_007_2019,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_007_2020,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_007_2021,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_007_2022,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
SAV_007_2023,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,138.0
JAM_003_2019,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,141.0
JAM_003_2020,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,141.0
JAM_003_2021,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,141.0
JAM_003_2022,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,141.0
JAM_003_2023,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,141.0
LIN_001_2019,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_001_2020,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_001_2021,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_001_2022,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_001_2023,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_006_2019,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_006_2020,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_006_2021,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_006_2022,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
LIN_006_2023,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
MAN_000_2019,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
MAN_000_2020,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
MAN_000_2021,bulk_density_cg_per_cm3,imputed_taluk_median,NaN,151.0
