point_id_yr,year,taluk,heuristic_credit_score,risk_category,recommendation,predicted_ndvi,latitude,longitude
CHI_000_2019,2019,Chikkodi,29.2,High,REJECT — Poor crop health and water availability signals.,0.18589290976524353,16.51678258279039,74.64332518097048
CHI_000_2020,2020,Chikkodi,32.0,High,REJECT — Poor crop health and water availability signals.,0.19821500778198242,16.51678258279039,74.64332518097048
CHI_000_2021,2021,Chikkodi,35.1,High,REJECT — Poor crop health and water availability signals.,0.2711394727230072,16.51678258279039,74.64332518097048
CHI_000_2022,2022,Chikkodi,36.1,High,REJECT — Poor crop health and water availability signals.,0.2929324507713318,16.51678258279039,74.64332518097048
CHI_000_2023,2023,Chikkodi,28.8,High,REJECT — Poor crop health and water availability signals.,0.17708072066307068,16.51678258279039,74.64332518097048
ATH_000_2019,2019,Athani,29.3,High,REJECT — Poor crop health and water availability signals.,0.21121397614479065,16.934367080771292,74.93346581393871
ATH_000_2020,2020,Athani,29.2,High,REJECT — Poor crop health and water availability signals.,0.19719822704792023,16.934367080771292,74.93346581393871
ATH_000_2021,2021,Athani,30.9,High,REJECT — Poor crop health and water availability signals.,0.2266290783882141,16.934367080771292,74.93346581393871
ATH_000_2022,2022,Athani,30.5,High,REJECT — Poor crop health and water availability signals.,0.2331870049238205,16.934367080771292,74.93346581393871
ATH_000_2023,2023,Athani,29.2,High,REJECT — Poor crop health and water availability signals.,0.20759737491607666,16.934367080771292,74.93346581393871
RAI_000_2019,2019,Raibag,55.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6309025883674622,16.353951227322582,74.8177352309449
RAI_000_2020,2020,Raibag,50.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.5524871349334717,16.353951227322582,74.8177352309449
RAI_000_2021,2021,Raibag,54.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6414807438850403,16.353951227322582,74.8177352309449
RAI_000_2022,2022,Raibag,55.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.666104257106781,16.353951227322582,74.8177352309449
RAI_000_2023,2023,Raibag,54.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6179825067520142,16.353951227322582,74.8177352309449
GOK_000_2019,2019,Gokak,69.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8170592784881592,16.00557545005408,74.7830242792542
GOK_000_2020,2020,Gokak,72.3,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8630104064941406,16.00557545005408,74.7830242792542
GOK_000_2021,2021,Gokak,73.5,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8932450413703918,16.00557545005408,74.7830242792542
GOK_000_2022,2022,Gokak,72.3,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8682266473770142,16.00557545005408,74.7830242792542
GOK_000_2023,2023,Gokak,67.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.760634183883667,16.00557545005408,74.7830242792542
HUK_000_2019,2019,Hukkeri,71.2,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8932064175605774,16.180911909972114,74.60463033418178
HUK_000_2020,2020,Hukkeri,71.2,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8928699493408203,16.180911909972114,74.60463033418178
HUK_000_2021,2021,Hukkeri,71.3,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8968251943588257,16.180911909972114,74.60463033418178
HUK_000_2022,2022,Hukkeri,71.1,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.9100845456123352,16.180911909972114,74.60463033418178
HUK_000_2023,2023,Hukkeri,68.8,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8749756813049316,16.180911909972114,74.60463033418178
BEL_000_2019,2019,Belagavi,51.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.38691622018814087,15.951508563355713,74.50247206203085
BEL_000_2020,2020,Belagavi,51.3,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.3676310181617737,15.951508563355713,74.50247206203085
BEL_000_2021,2021,Belagavi,51.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.3832542300224304,15.951508563355713,74.50247206203085
BEL_000_2022,2022,Belagavi,52.1,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.4035224914550781,15.951508563355713,74.50247206203085
BEL_000_2023,2023,Belagavi,50.0,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.37191978096961975,15.951508563355713,74.50247206203085
KHA_000_2019,2019,Khanapur,75.0,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.9016878604888916,15.518400237865954,74.68807762711702
KHA_000_2020,2020,Khanapur,74.3,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8993687033653259,15.518400237865954,74.68807762711702
KHA_000_2021,2021,Khanapur,73.3,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8823249936103821,15.518400237865954,74.68807762711702
KHA_000_2022,2022,Khanapur,74.4,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.9222330451011658,15.518400237865954,74.68807762711702
KHA_000_2023,2023,Khanapur,74.4,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.9159727692604065,15.518400237865954,74.68807762711702
SAV_000_2019,2019,Savadatti,47.7,High,REJECT — Poor crop health and water availability signals.,0.37014293670654297,15.75145832810854,75.22667100349508
SAV_000_2020,2020,Savadatti,47.9,High,REJECT — Poor crop health and water availability signals.,0.3809489905834198,15.75145832810854,75.22667100349508
SAV_000_2021,2021,Savadatti,50.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.43796685338020325,15.75145832810854,75.22667100349508
SAV_000_2022,2022,Savadatti,51.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.4506474733352661,15.75145832810854,75.22667100349508
SAV_000_2023,2023,Savadatti,48.3,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.37368664145469666,15.75145832810854,75.22667100349508
BAI_000_2019,2019,Bailhongal,66.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7758421897888184,15.899931494641296,74.76691499533675
BAI_000_2020,2020,Bailhongal,69.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8250743746757507,15.899931494641296,74.76691499533675
BAI_000_2021,2021,Bailhongal,69.1,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8156906962394714,15.899931494641296,74.76691499533675
BAI_000_2022,2022,Bailhongal,72.1,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.8811360597610474,15.899931494641296,74.76691499533675
BAI_000_2023,2023,Bailhongal,67.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7921213507652283,15.899931494641296,74.76691499533675
RAM_000_2019,2019,Ramadurg,43.5,High,REJECT — Poor crop health and water availability signals.,0.40990719199180603,16.01362919830315,75.24806997667042
RAM_000_2020,2020,Ramadurg,43.3,High,REJECT — Poor crop health and water availability signals.,0.3704764246940613,16.01362919830315,75.24806997667042
RAM_000_2021,2021,Ramadurg,44.8,High,REJECT — Poor crop health and water availability signals.,0.3919927775859833,16.01362919830315,75.24806997667042
RAM_000_2022,2022,Ramadurg,44.7,High,REJECT — Poor crop health and water availability signals.,0.3921720087528229,16.01362919830315,75.24806997667042
RAM_000_2023,2023,Ramadurg,40.5,High,REJECT — Poor crop health and water availability signals.,0.36235660314559937,16.01362919830315,75.24806997667042
KIT_000_2019,2019,Kitthuru,50.8,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.5114359855651855,15.700903966180531,74.76505410385144
KIT_000_2020,2020,Kitthuru,52.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.5418452620506287,15.700903966180531,74.76505410385144
KIT_000_2021,2021,Kitthuru,57.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6595333814620972,15.700903966180531,74.76505410385144
KIT_000_2022,2022,Kitthuru,56.0,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6403838396072388,15.700903966180531,74.76505410385144
KIT_000_2023,2023,Kitthuru,45.0,High,REJECT — Poor crop health and water availability signals.,0.41047024726867676,15.700903966180531,74.76505410385144
NIP_000_2019,2019,Nippani,68.1,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9535712003707886,16.52021193590119,74.46946928527998
NIP_000_2020,2020,Nippani,68.1,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9560577869415283,16.52021193590119,74.46946928527998
NIP_000_2021,2021,Nippani,68.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9648383855819702,16.52021193590119,74.46946928527998
NIP_000_2022,2022,Nippani,67.7,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9708949327468872,16.52021193590119,74.46946928527998
NIP_000_2023,2023,Nippani,64.2,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9574252963066101,16.52021193590119,74.46946928527998
KAG_000_2019,2019,Kagwad,41.9,High,REJECT — Poor crop health and water availability signals.,0.48111170530319214,16.666560139057225,74.91723954930184
KAG_000_2020,2020,Kagwad,48.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6136540174484253,16.666560139057225,74.91723954930184
KAG_000_2021,2021,Kagwad,48.1,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.5975959897041321,16.666560139057225,74.91723954930184
KAG_000_2022,2022,Kagwad,46.7,High,REJECT — Poor crop health and water availability signals.,0.5837661027908325,16.666560139057225,74.91723954930184
KAG_000_2023,2023,Kagwad,43.9,High,REJECT — Poor crop health and water availability signals.,0.5235737562179565,16.666560139057225,74.91723954930184
MUD_000_2019,2019,Mudalgi,54.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7766623497009277,16.302355431955185,75.03887636019363
MUD_000_2020,2020,Mudalgi,64.0,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.905039370059967,16.302355431955185,75.03887636019363
MUD_000_2021,2021,Mudalgi,64.0,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9140674471855164,16.302355431955185,75.03887636019363
MUD_000_2022,2022,Mudalgi,63.8,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9084223508834839,16.302355431955185,75.03887636019363
MUD_000_2023,2023,Mudalgi,51.8,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7140775918960571,16.302355431955185,75.03887636019363
JAM_000_2019,2019,Jamakhandi,62.8,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8331411480903625,16.48945938700312,75.37070292261478
JAM_000_2020,2020,Jamakhandi,63.2,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.864403247833252,16.48945938700312,75.37070292261478
