taluk,district,latitude,longitude,year,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,scene_count,platform,data_source
Chikkodi,Belagavi,16.441064,74.596372,2019,0.3106,0.0456,0.3106,0.3106,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Chikkodi,Belagavi,16.441064,74.596372,2020,0.2912,0.0562,0.2912,0.2912,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Chikkodi,Belagavi,16.441064,74.596372,2021,0.3201,0.0604,0.3201,0.3201,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Chikkodi,Belagavi,16.441064,74.596372,2022,0.2944,0.0769,0.2944,0.2944,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Chikkodi,Belagavi,16.441064,74.596372,2023,0.3377,0.0707,0.3377,0.3377,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Athani,Belagavi,16.753493,75.127268,2019,0.3078,0.0353,0.3078,0.3078,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Athani,Belagavi,16.753493,75.127268,2020,0.3155,0.103,0.3155,0.3155,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Athani,Belagavi,16.753493,75.127268,2021,0.33,0.1063,0.33,0.33,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Athani,Belagavi,16.753493,75.127268,2022,0.3144,0.1335,0.3144,0.3144,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Athani,Belagavi,16.753493,75.127268,2023,0.2909,0.1167,0.2909,0.2909,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Raibag,Belagavi,16.478438,74.857444,2019,0.5898,0.1015,0.5898,0.5898,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Raibag,Belagavi,16.478438,74.857444,2020,0.5278,0.1106,0.5278,0.5278,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Raibag,Belagavi,16.478438,74.857444,2021,0.526,0.1113,0.526,0.526,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Raibag,Belagavi,16.478438,74.857444,2022,0.5143,0.0995,0.5143,0.5143,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Raibag,Belagavi,16.478438,74.857444,2023,0.4854,0.1154,0.4854,0.4854,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Gokak,Belagavi,16.128551,74.852335,2019,0.5548,0.1049,0.5548,0.5548,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Gokak,Belagavi,16.128551,74.852335,2020,0.5197,0.1166,0.5197,0.5197,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Gokak,Belagavi,16.128551,74.852335,2021,0.5496,0.1234,0.5496,0.5496,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Gokak,Belagavi,16.128551,74.852335,2022,0.5015,0.1086,0.5015,0.5015,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Gokak,Belagavi,16.128551,74.852335,2023,0.5504,0.1318,0.5504,0.5504,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Hukkeri,Belagavi,16.191645,74.56752,2019,0.4766,0.1053,0.4766,0.4766,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Hukkeri,Belagavi,16.191645,74.56752,2020,0.4347,0.1061,0.4347,0.4347,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Hukkeri,Belagavi,16.191645,74.56752,2021,0.5584,0.0926,0.5584,0.5584,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Hukkeri,Belagavi,16.191645,74.56752,2022,0.4595,0.1242,0.4595,0.4595,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Hukkeri,Belagavi,16.191645,74.56752,2023,0.5582,0.0945,0.5582,0.5582,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Belagavi,Belagavi,15.866172,74.529367,2019,0.2544,0.1923,0.2544,0.2544,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Belagavi,Belagavi,15.866172,74.529367,2020,0.2164,0.2262,0.2164,0.2164,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Belagavi,Belagavi,15.866172,74.529367,2021,0.2782,0.1824,0.2782,0.2782,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Belagavi,Belagavi,15.866172,74.529367,2022,0.225,0.2397,0.225,0.225,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Belagavi,Belagavi,15.866172,74.529367,2023,0.1937,0.2043,0.1937,0.1937,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Khanapur,Belagavi,15.58718,74.473885,2019,0.5824,0.118,0.5824,0.5824,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Khanapur,Belagavi,15.58718,74.473885,2020,0.4994,0.1414,0.4994,0.4994,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Khanapur,Belagavi,15.58718,74.473885,2021,0.6243,0.1144,0.6243,0.6243,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Khanapur,Belagavi,15.58718,74.473885,2022,0.5607,0.1336,0.5607,0.5607,1,landsat-9,Landsat C2 L2 (Planetary Computer)
